,Word,New POS,Frequency
19,the,Other,346
7,to,Other,254
5,and,Other,213
48,that,Other,182
13,i,Other,169
33,of,Other,159
61,a,Other,115
27,in,Other,108
16,we,Other,101
311,he,Other,97
95,is,Verb,95
22,it,Other,90
45,have,Verb,80
1,you,Other,64
9,for,Other,61
41,our,Other,58
55,not,Adverb,55
31,what,Other,48
37,be,Verb,48
51,on,Other,47
14,think,Verb,44
39,will,Other,44
205,wa,Verb,44
85,with,Other,44
91,but,Other,41
18,about,Other,40
35,are,Verb,40
54,people,Noun,38
123,do,Verb,36
71,ha,Verb,36
36,going,Verb,35
172,who,Other,34
28,this,Other,33
12,know,Verb,33
229,well,Adverb,31
34,country,Noun,30
64,woman,Noun,30
307,said,Verb,30
74,because,Other,29
306,donald,Noun,27
181,so,Adverb,26
199,make,Verb,26
171,want,Verb,26
184,from,Other,25
349,get,Verb,25
267,were,Verb,23
127,president,Noun,23
15,when,Other,23
103,against,Other,22
112,would,Other,22
62,up,Adverb,21
109,thats,Noun,20
124,job,Noun,20
246,an,Other,20
2,very,Adverb,20
252,been,Verb,20
327,just,Adverb,19
257,his,Other,19
139,they,Other,19
130,them,Other,18
32,kind,Noun,18
108,all,Other,18
165,can,Other,17
75,way,Noun,17
164,there,Other,17
140,go,Verb,16
81,into,Other,15
106,should,Other,15
788,tax,Noun,15
11,u,Other,15
67,say,Verb,15
486,im,Noun,14
110,how,Other,14
80,come,Verb,14
92,at,Other,14
838,after,Other,14
275,which,Other,14
49,need,Verb,14
180,family,Noun,13
254,by,Other,13
151,year,Noun,13
384,where,Other,13
292,state,Noun,13
290,now,Adverb,13
43,right,Noun,13
284,one,Other,13
639,time,Noun,13
59,me,Other,12
515,am,Verb,12
485,why,Other,12
240,their,Other,12
29,election,Noun,12
23,really,Adverb,12
501,clear,Adjective,12
559,more,Adjective,12
53,american,Adjective,12
86,my,Other,12
138,or,Other,11
291,america,Noun,11
313,government,Noun,11
242,take,Verb,11
472,went,Verb,11
794,debt,Noun,11
731,help,Verb,11
162,also,Adverb,11
271,some,Other,11
418,dont,Verb,10
378,ive,Noun,10
4,chris,Noun,10
379,had,Verb,10
456,security,Noun,10
621,him,Other,10
601,weve,Noun,10
21,court,Noun,10
68,no,Other,10
520,economy,Noun,10
179,your,Other,10
69,united,Noun,9
458,plan,Noun,9
227,life,Noun,9
1185,syria,Noun,9
538,let,Verb,9
353,if,Other,9
412,work,Verb,9
383,world,Noun,9
111,see,Verb,9
158,gun,Noun,9
160,back,Adverb,9
326,could,Other,9
70,decision,Noun,9
50,stand,Verb,9
477,got,Verb,8
236,even,Adverb,8
314,down,Adverb,8
393,business,Noun,8
163,believe,Verb,8
482,immigrant,Noun,8
17,talk,Verb,8
402,here,Adverb,8
135,then,Adverb,8
210,case,Noun,8
808,fact,Noun,8
90,before,Other,8
88,these,Other,8
333,out,Adverb,8
365,so,Other,8
428,million,Other,8
529,trump,Noun,8
195,other,Adjective,8
387,like,Other,8
739,work,Noun,7
79,money,Noun,7
455,border,Noun,7
308,he,Noun,7
26,issue,Noun,7
44,american,Noun,7
281,her,Other,7
282,health,Noun,7
497,new,Adjective,7
118,look,Verb,7
363,those,Other,7
145,second,Noun,7
910,made,Verb,7
146,amendment,Noun,7
96,important,Adjective,7
38,opportunity,Noun,7
24,raise,Verb,6
892,doe,Verb,6
595,russian,Noun,6
773,pay,Verb,6
734,national,Adjective,6
362,making,Verb,6
223,many,Adjective,6
589,actually,Adverb,6
206,saying,Verb,6
1177,isi,Noun,6
241,home,Noun,6
390,child,Noun,6
278,most,Adverb,6
446,school,Noun,6
273,every,Other,6
429,undocumented,Adjective,6
128,obama,Noun,6
1095,haiti,Noun,6
451,out,Other,6
526,lot,Noun,6
969,done,Verb,6
561,than,Other,6
73,system,Noun,6
416,good,Adjective,6
1181,mosul,Noun,6
812,weve,Verb,6
1059,foundation,Noun,6
651,nuclear,Adjective,6
878,income,Noun,6
549,last,Adjective,6
631,military,Adjective,5
268,defend,Verb,5
286,only,Adverb,5
283,care,Noun,5
266,course,Noun,5
340,did,Verb,5
253,supported,Verb,5
1373,social,Noun,5
20,supreme,Noun,5
1127,rigged,Verb,5
911,around,Other,5
652,weapon,Noun,5
1171,iraq,Noun,5
168,regulation,Noun,5
354,continue,Verb,5
60,mean,Verb,5
872,ground,Noun,5
414,everything,Noun,5
143,first,Adverb,5
142,well,Noun,5
557,energy,Noun,5
489,first,Adjective,5
749,college,Noun,5
119,forward,Adverb,5
115,great,Adjective,5
448,put,Verb,5
102,wade,Noun,5
101,v,Other,5
100,roe,Noun,5
746,education,Noun,5
743,sure,Adjective,5
63,behalf,Noun,5
57,corporation,Noun,5
398,talking,Verb,5
144,support,Verb,5
688,ahead,Adverb,5
175,able,Adjective,5
201,any,Other,5
198,reform,Noun,5
367,doing,Verb,5
675,thats,Verb,5
884,number,Noun,5
1034,federal,Adjective,5
871,invest,Verb,4
536,everybody,Noun,4
438,person,Noun,4
581,putin,Noun,4
287,whats,Noun,4
342,end,Noun,4
908,chinese,Adjective,4
602,never,Adverb,4
537,working,Verb,4
535,ill,Noun,4
293,putting,Verb,4
465,getting,Verb,4
1043,dangerous,Adjective,4
532,worker,Noun,4
584,17,Other,4
479,war,Noun,4
358,terrible,Adjective,4
357,something,Noun,4
1058,clinton,Noun,4
821,penny,Noun,4
407,parent,Noun,4
417,youre,Noun,4
411,born,Verb,4
388,used,Verb,4
415,give,Verb,4
585,intelligence,Noun,4
811,cut,Noun,4
491,day,Noun,4
575,given,Verb,4
902,steel,Noun,4
338,voted,Verb,4
424,force,Noun,4
1054,interest,Noun,4
305,benefit,Noun,4
432,a,Adverb,4
570,espionage,Noun,4
301,parenthood,Noun,4
566,quoting,Verb,4
820,add,Verb,4
503,started,Verb,4
979,thing,Noun,4
708,keep,Verb,4
729,problem,Noun,4
933,fund,Noun,4
927,30,Other,4
122,senate,Noun,4
214,protect,Verb,4
156,understand,Verb,4
213,trying,Verb,4
636,find,Verb,4
224,conflict,Noun,4
42,citizen,Noun,4
656,he,Verb,4
768,great,Noun,4
504,campaign,Noun,4
696,through,Other,4
117,standing,Verb,4
194,there,Verb,4
928,experience,Noun,4
1396,medicare,Noun,3
154,new,Noun,3
922,department,Noun,3
409,deported,Verb,3
704,middle,Noun,3
867,position,Noun,3
866,hard,Adjective,3
972,debate,Noun,3
555,rest,Noun,3
967,happy,Adjective,3
568,russian,Adjective,3
567,wikileaks,Noun,3
400,young,Adjective,3
166,must,Other,3
389,china,Noun,3
762,university,Noun,3
955,called,Verb,3
185,comprehensive,Adjective,3
763,worked,Verb,3
678,responsibility,Noun,3
1218,syrian,Noun,3
374,meet,Verb,3
579,highest,Adjective,3
580,level,Noun,3
887,agreement,Noun,3
1051,move,Verb,3
818,anyone,Noun,3
1234,invasion,Noun,3
553,bush,Noun,3
121,hope,Verb,3
473,mexico,Noun,3
521,employer,Noun,3
66,community,Noun,3
58,wealthy,Noun,3
56,powerful,Adjective,3
481,both,Other,3
52,side,Noun,3
47,strongly,Adverb,3
46,feel,Verb,3
845,approach,Noun,3
990,during,Other,3
840,so,Noun,3
841,investment,Noun,3
3,much,Adjective,3
502,proposing,Verb,3
730,create,Verb,3
1271,conspiracy,Noun,3
466,rid,Adjective,3
105,basically,Adverb,3
436,ago,Adverb,3
548,reagan,Noun,3
441,massive,Adjective,3
442,law,Noun,3
860,took,Verb,3
716,biggest,Adjective,3
717,program,Noun,3
461,resource,Noun,3
977,big,Adjective,3
718,since,Other,3
454,nation,Noun,3
94,history,Noun,3
457,immigration,Noun,3
854,secretary,Noun,3
582,himself,Other,3
889,didnt,Verb,3
325,abortion,Noun,3
260,million,Noun,3
1110,return,Noun,3
792,20,Other,3
774,fair,Adjective,3
343,pregnancy,Noun,3
793,trillion,Other,3
297,choice,Noun,3
776,were,Noun,3
221,theyve,Noun,3
337,account,Noun,3
596,help,Noun,3
1356,growth,Noun,3
797,seen,Verb,3
598,encouraged,Verb,3
1105,else,Adverb,3
614,line,Noun,3
331,clearly,Adverb,3
778,greater,Adjective,3
328,more,Adverb,3
938,justice,Noun,3
233,dozen,Noun,3
936,kid,Noun,3
603,anything,Noun,3
238,everyone,Noun,3
1215,zone,Noun,3
317,too,Adverb,3
586,agency,Noun,3
790,ever,Adverb,3
895,stage,Noun,3
1374,trust,Noun,3
769,recession,Noun,3
269,try,Verb,3
203,mentioned,Verb,3
772,wealthy,Adjective,3
350,worst,Adjective,3
265,together,Adverb,3
347,met,Verb,3
1191,off,Adverb,3
626,situation,Noun,3
630,civilian,Adjective,3
787,cut,Verb,3
782,produce,Verb,2
1103,there,Adverb,2
783,contrast,Noun,2
507,mexican,Adjective,2
1139,emmy,Noun,2
611,cyberattacks,Noun,2
1257,fighter,Noun,2
719,infrastructure,Noun,2
737,poverty,Noun,2
632,concluded,Verb,2
1112,run,Verb,2
608,pretty,Noun,2
1182,fight,Noun,2
540,undocumented,Verb,2
541,hurt,Verb,2
542,open,Adjective,2
1187,raqqa,Noun,2
625,unprecedented,Adjective,2
1138,republican,Noun,2
826,billion,Other,2
518,shadow,Noun,2
786,whole,Adjective,2
833,inherited,Verb,2
837,yes,Adverb,2
732,small,Adjective,2
733,twothirds,Noun,2
1126,claim,Verb,2
510,drug,Noun,2
803,possibly,Adverb,2
525,wage,Noun,2
1255,while,Other,2
620,whatever,Other,2
1106,part,Noun,2
728,serious,Adjective,2
827,deficit,Noun,2
1133,lost,Verb,2
834,economic,Adjective,2
1137,primary,Noun,2
1241,hear,Verb,2
522,cant,Verb,2
1166,iraqi,Noun,2
1238,google,Noun,2
1222,refugee,Noun,2
775,share,Noun,2
695,peace,Noun,2
569,engaged,Verb,2
693,kept,Verb,2
1151,may,Other,2
757,le,Adjective,2
1154,general,Adjective,2
1109,released,Verb,2
1156,game,Noun,2
1216,safe,Adjective,2
760,bill,Noun,2
683,asked,Verb,2
590,question,Noun,2
823,control,Noun,2
588,influence,Verb,2
1219,prevent,Verb,2
764,bernie,Noun,2
677,awesome,Adjective,2
577,purpose,Noun,2
676,10,Other,2
771,top,Adjective,2
665,deal,Noun,2
765,sander,Noun,2
671,minute,Noun,2
583,effort,Noun,2
667,order,Noun,2
1098,earthquake,Noun,2
813,three,Other,2
697,alliance,Noun,2
814,under,Other,2
648,ii,Noun,2
606,rather,Adverb,2
779,analyzed,Verb,2
605,hed,Verb,2
747,start,Verb,2
748,preschool,Noun,2
669,there,Noun,2
650,raising,Verb,2
711,thrives,Noun,2
710,class,Noun,2
1210,buy,Verb,2
709,middle,Adjective,2
777,contribution,Noun,2
558,trade,Verb,2
805,another,Other,2
816,repeatedly,Adverb,2
1123,respond,Verb,2
751,high,Adjective,2
752,real,Adjective,2
702,ally,Noun,2
1147,democracy,Noun,2
1227,negotiation,Noun,2
700,frankly,Verb,2
755,future,Noun,2
815,administration,Noun,2
687,asia,Noun,2
495,place,Noun,2
842,skill,Noun,2
251,donalds,Noun,2
1035,judge,Noun,2
1351,cost,Noun,2
272,lose,Verb,2
270,save,Verb,2
264,like,Verb,2
262,ad,Noun,2
926,raised,Verb,2
259,running,Verb,2
248,bear,Verb,2
348,toward,Other,2
243,appropriate,Adjective,2
934,discrimination,Noun,2
1364,grow,Verb,2
1366,dad,Noun,2
231,because,Adverb,2
937,sued,Verb,2
225,between,Other,2
222,accepted,Verb,2
288,happening,Verb,2
289,right,Adverb,2
499,best,Adjective,2
917,trade,Noun,2
1325,threat,Noun,2
339,senator,Noun,2
336,taken,Verb,2
335,mother,Noun,2
334,long,Adverb,2
903,aluminum,Noun,2
1330,smarter,Noun,2
907,bought,Verb,2
1041,pattern,Noun,2
316,own,Adjective,2
1040,racketeering,Noun,2
310,planned,Verb,2
1039,fraud,Noun,2
914,steelworker,Noun,2
1340,criticizing,Verb,2
300,planned,Noun,2
299,defunding,Verb,2
219,didnt,Noun,2
1022,man,Noun,2
215,toddler,Noun,2
965,celebrity,Noun,2
968,compare,Verb,2
126,nominee,Noun,2
116,tradition,Noun,2
974,exactly,Adverb,2
113,looking,Verb,2
1000,bring,Verb,2
978,rally,Noun,2
97,reverse,Verb,2
89,others,Noun,2
84,disagreement,Noun,2
83,major,Adjective,2
1419,presidency,Noun,2
77,dark,Adjective,2
983,look,Noun,2
40,provide,Verb,2
986,reporter,Noun,2
10,hosting,Verb,2
966,apprentice,Noun,2
964,laden,Noun,2
1375,commitment,Noun,2
963,bin,Noun,2
1020,mr,Noun,2
200,difference,Noun,2
197,sensible,Adjective,2
196,matter,Noun,2
191,close,Adverb,2
182,33000,Other,2
177,kill,Verb,2
1006,true,Adjective,2
169,doesnt,Noun,2
167,reasonable,Adjective,2
961,brought,Verb,2
157,respect,Verb,2
155,york,Noun,2
1397,affordable,Noun,2
1398,act,Noun,2
1399,repeal,Verb,2
148,arkansas,Noun,2
899,including,Verb,2
918,enforce,Verb,2
1128,fbi,Noun,2
427,11,Other,2
397,advice,Noun,2
480,paying,Verb,2
873,up,Other,2
403,la,Noun,2
475,mexican,Noun,2
404,vega,Noun,2
408,might,Other,2
419,rip,Verb,2
420,apart,Adverb,2
1269,attack,Noun,2
471,building,Noun,2
423,deportation,Noun,2
865,taking,Verb,2
483,act,Verb,2
470,wall,Noun,2
1067,treatment,Noun,2
434,few,Adjective,2
1272,theory,Noun,2
435,week,Noun,2
862,doesnt,Verb,2
440,here,Verb,2
463,most,Adjective,2
443,enforcement,Noun,2
1320,nightclub,Noun,2
1277,ask,Verb,2
452,idea,Noun,2
1061,charity,Noun,2
413,hard,Adverb,2
492,path,Noun,2
377,possible,Adjective,2
891,same,Adjective,2
897,shipped,Verb,2
844,stay,Verb,2
1055,value,Noun,2
488,within,Other,2
376,over,Other,2
1079,evidence,Noun,2
1265,fighting,Noun,2
890,test,Noun,2
386,forced,Verb,2
1075,well,Other,1
1081,quickly,Adverb,1
1120,countryactually,Adjective,1
994,selfworth,Noun,1
995,anywhere,Adverb,1
1074,lunch,Noun,1
1004,diversity,Noun,1
999,next,Adjective,1
1073,healthier,Noun,1
1082,spend,Verb,1
1005,lift,Verb,1
993,dignity,Noun,1
1007,particularly,Adverb,1
1118,half,Other,1
1008,grandchild,Noun,1
992,bigger,Adjective,1
1009,pushed,Verb,1
1117,paid,Verb,1
1091,id,Noun,1
1010,obviously,Adverb,1
1119,immigrantsundocumented,Adjective,1
1090,follow,Verb,1
1076,discussion,Noun,1
1124,horrifying,Verb,1
1085,percent,Noun,1
1078,evidencebut,Noun,1
1077,nobut,Adjective,1
998,expect,Verb,1
1001,pitting,Noun,1
1084,percent90,Adjective,1
1002,instead,Adverb,1
1012,immediately,Adverb,1
1003,celebrate,Verb,1
1125,direction,Noun,1
1121,billionaire,Noun,1
1086,donated,Verb,1
1087,proud,Adverb,1
1088,rating,Noun,1
997,demonstrate,Verb,1
1122,astonishing,Noun,1
1089,watchdog,Noun,1
1080,ranking,Noun,1
1083,90,Other,1
996,feel,Noun,1
1011,uncomfortable,Adjective,1
1047,applauds,Verb,1
1013,denying,Verb,1
1031,prefers,Verb,1
1032,arent,Verb,1
1033,captured,Verb,1
1062,proud,Adjective,1
1108,hasnt,Verb,1
1036,indiana,Noun,1
1037,couldnt,Noun,1
1060,worldrenowned,Adjective,1
1107,whether,Other,1
1038,trusted,Verb,1
