,Word,New POS,Frequency
13,the,Other,247
10,and,Other,201
6,to,Other,195
2,of,Other,136
4,it,Other,134
9,you,Other,132
48,i,Other,130
42,a,Other,126
26,we,Other,123
27,have,Verb,110
25,that,Other,96
63,in,Other,86
105,they,Other,81
66,going,Verb,76
20,is,Verb,67
50,she,Other,66
55,but,Other,62
110,are,Verb,52
45,people,Noun,49
37,very,Adverb,44
3,all,Other,43
21,so,Adverb,42
18,our,Other,41
92,because,Other,40
19,country,Noun,39
7,be,Verb,38
83,will,Other,37
16,what,Other,36
57,were,Verb,33
51,wa,Verb,32
88,now,Adverb,32
191,for,Other,32
356,at,Other,31
215,on,Other,31
8,with,Other,30
75,if,Other,29
199,do,Verb,29
178,know,Verb,29
376,her,Other,28
157,ha,Verb,28
125,want,Verb,27
346,get,Verb,26
23,just,Adverb,26
61,been,Verb,26
54,did,Verb,26
165,by,Other,26
122,dont,Verb,26
78,this,Other,26
82,think,Verb,25
41,me,Other,24
149,say,Verb,24
58,should,Other,24
17,about,Other,23
264,border,Noun,22
46,many,Adjective,22
153,go,Verb,22
231,take,Verb,20
198,not,Adverb,19
171,other,Adjective,19
289,no,Other,19
391,thing,Noun,19
263,year,Noun,18
5,great,Adjective,18
352,them,Other,18
251,said,Verb,18
117,way,Noun,18
309,up,Adverb,18
130,well,Adverb,18
56,these,Other,18
230,can,Other,18
429,percent,Noun,17
348,bad,Adjective,17
426,from,Other,17
170,than,Other,17
140,when,Other,17
965,mosul,Noun,17
145,hillary,Noun,16
351,were,Noun,15
305,job,Noun,15
33,where,Other,15
350,out,Adverb,15
576,money,Noun,14
254,one,Other,14
373,deal,Noun,14
212,or,Other,14
162,state,Noun,13
151,tell,Verb,13
64,my,Other,13
31,happened,Verb,13
216,thats,Noun,13
243,shes,Noun,13
234,out,Other,12
499,look,Verb,12
206,back,Adverb,12
432,see,Verb,12
430,he,Other,12
372,trade,Noun,12
1003,iran,Noun,12
160,law,Noun,11
461,look,Noun,11
102,im,Noun,11
441,putin,Noun,11
74,believe,Verb,11
307,whats,Noun,11
284,theyre,Noun,11
202,would,Other,11
565,lot,Noun,11
320,obama,Noun,11
248,nobody,Noun,10
29,justice,Noun,10
150,let,Verb,10
148,had,Verb,10
398,big,Adjective,10
393,talk,Verb,10
70,which,Other,10
225,make,Verb,10
448,isi,Noun,10
69,amendment,Noun,10
259,disaster,Noun,10
47,million,Noun,10
59,never,Adverb,10
796,woman,Noun,9
370,much,Adverb,9
189,who,Other,9
129,those,Other,9
472,like,Other,9
756,iraq,Noun,9
217,really,Adverb,9
257,give,Verb,9
119,wanted,Verb,9
62,need,Verb,9
60,ever,Adverb,9
341,wall,Noun,9
447,after,Other,9
688,much,Adjective,9
192,president,Noun,9
98,ive,Noun,9
736,company,Noun,9
179,saying,Verb,8
154,any,Other,8
318,clinton,Noun,8
445,russia,Noun,8
43,tremendous,Adjective,8
68,second,Noun,8
36,some,Other,8
558,start,Verb,8
