Word,New POS,Frequency
clear,Adjective,12
more,Adjective,12
american,Adjective,12
other,Adjective,8
new,Adjective,7
important,Adjective,7
national,Adjective,6
many,Adjective,6
undocumented,Adjective,6
good,Adjective,6
nuclear,Adjective,6
last,Adjective,6
military,Adjective,5
first,Adjective,5
great,Adjective,5
sure,Adjective,5
able,Adjective,5
federal,Adjective,5
chinese,Adjective,4
dangerous,Adjective,4
terrible,Adjective,4
hard,Adjective,3
happy,Adjective,3
russian,Adjective,3
young,Adjective,3
comprehensive,Adjective,3
highest,Adjective,3
powerful,Adjective,3
much,Adjective,3
rid,Adjective,3
massive,Adjective,3
biggest,Adjective,3
big,Adjective,3
fair,Adjective,3
greater,Adjective,3
wealthy,Adjective,3
worst,Adjective,3
civilian,Adjective,3
mexican,Adjective,2
open,Adjective,2
unprecedented,Adjective,2
whole,Adjective,2
small,Adjective,2
serious,Adjective,2
economic,Adjective,2
le,Adjective,2
general,Adjective,2
safe,Adjective,2
awesome,Adjective,2
top,Adjective,2
middle,Adjective,2
high,Adjective,2
real,Adjective,2
appropriate,Adjective,2
best,Adjective,2
own,Adjective,2
major,Adjective,2
dark,Adjective,2
sensible,Adjective,2
true,Adjective,2
reasonable,Adjective,2
few,Adjective,2
most,Adjective,2
possible,Adjective,2
same,Adjective,2
countryactually,Adjective,1
next,Adjective,1
bigger,Adjective,1
immigrantsundocumented,Adjective,1
nobut,Adjective,1
percent90,Adjective,1
uncomfortable,Adjective,1
proud,Adjective,1
worldrenowned,Adjective,1
poorest,Adjective,1
catastrophic,Adjective,1
healthier,Adjective,1
troubling,Adjective,1
disabled,Adjective,1
sixfoot,Adjective,1
donald,Adjective,1
little,Adjective,1
careful,Adjective,1
internal,Adjective,1
yearlong,Adjective,1
worse,Adjective,1
longterm,Adjective,1
entitlement,Adjective,1
opposite,Adjective,1
fairer,Adjective,1
incredible,Adjective,1
better,Adjective,1
additional,Adjective,1
current,Adjective,1
smartest,Adjective,1
smallbusiness,Adjective,1
cant,Adjective,1
sufficient,Adjective,1
lowincome,Adjective,1
smart,Adjective,1
red,Adjective,1
hopeful,Adjective,1
successful,Adjective,1
got,Adjective,1
civil,Adjective,1
special,Adjective,1
funny,Adjective,1
free,Adjective,1
denigratinghes,Adjective,1
online,Adjective,1
let,Adjective,1
estimated,Adjective,1
several,Adjective,1
underground,Adjective,1
tough,Adjective,1
modern,Adjective,1
aware,Adjective,1
legitimate,Adjective,1
nofly,Adjective,1
constant,Adjective,1
syrian,Adjective,1
necessary,Adjective,1
political,Adjective,1
subject,Adjective,1
border,Adjective,1
violent,Adjective,1
worried,Adjective,1
personal,Adjective,1
unfortunate,Adjective,1
medical,Adjective,1
bipartisan,Adjective,1
electric,Adjective,1
private,Adjective,1
secure,Adjective,1
limited,Adjective,1
different,Adjective,1
formal,Adjective,1
undercut,Adjective,1
wonderful,Adjective,1
upstate,Adjective,1
loophole,Adjective,1
central,Adjective,1
unaccountable,Adjective,1
electoral,Adjective,1
opposed,Adjective,1
heartbreaking,Adjective,1
painful,Adjective,1
stringent,Adjective,1
difficult,Adjective,1
intimate,Adjective,1
unfortunately,Adjective,1
individual,Adjective,1
constitutional,Adjective,1
past,Adjective,1
illegal,Adjective,1
long,Adjective,1
final,Adjective,1
largest,Adjective,1
human,Adjective,1
former,Adjective,1
attractive,Adjective,1
crocodile,Adjective,1
untrue,Adjective,1
numerous,Adjective,1
racial,Adjective,1
ironic,Adjective,1
casual,Adjective,1
bottom,Adjective,1
responsible,Adjective,1
potential,Adjective,1
willing,Adjective,1
wish,Adjective,1
such,Adjective,1
foreign,Adjective,1
nuclearnuclear,Adjective,1
enjoy,Adjective,1
equal,Adjective,1
technical,Adjective,1
public,Adjective,1
independent,Adjective,1
trickledown,Adjective,1
only,Adjective,1
middleclass,Adjective,1
