Word,New POS,Frequency
many,Adjective,22
other,Adjective,19
great,Adjective,18
bad,Adjective,17
big,Adjective,10
much,Adjective,9
tremendous,Adjective,8
strong,Adjective,7
more,Adjective,7
last,Adjective,7
open,Adjective,6
good,Adjective,6
wrong,Adjective,6
tougher,Adjective,5
nuclear,Adjective,5
better,Adjective,4
small,Adjective,4
massive,Adjective,4
right,Adjective,4
false,Adjective,4
greatest,Adjective,4
sad,Adjective,4
american,Adjective,3
criminal,Adjective,3
angry,Adjective,3
general,Adjective,3
theyre,Adjective,3
such,Adjective,3
worse,Adjective,3
free,Adjective,3
horrible,Adjective,3
important,Adjective,3
rid,Adjective,3
different,Adjective,3
worst,Adjective,3
unfair,Adjective,3
hillary,Adjective,3
biggest,Adjective,3
nice,Adjective,3
terrible,Adjective,3
single,Adjective,3
political,Adjective,2
powerful,Adjective,2
huge,Adjective,2
prolife,Adjective,2
dishonest,Adjective,2
gold,Adjective,2
best,Adjective,2
new,Adjective,2
corrupt,Adjective,2
sudden,Adjective,2
bigger,Adjective,2
upset,Adjective,2
toughest,Adjective,2
second,Adjective,2
serious,Adjective,2
military,Adjective,2
certain,Adjective,2
ninth,Adjective,2
want,Adjective,2
first,Adjective,2
only,Adjective,2
cant,Adjective,2
economic,Adjective,2
smarter,Adjective,2
same,Adjective,2
inner,Adjective,1
special,Adjective,1
little,Adjective,1
disabled,Adjective,1
housesthe,Adjective,1
most,Adjective,1
beautiful,Adjective,1
shot,Adjective,1
guilty,Adjective,1
le,Adjective,1
stupid,Adjective,1
withas,Adjective,1
humanitarian,Adjective,1
signed,Adjective,1
higher,Adjective,1
least,Adjective,1
luck,Adjective,1
ridiculous,Adjective,1
vast,Adjective,1
next,Adjective,1
syrian,Adjective,1
nasty,Adjective,1
expensive,Adjective,1
athe,Adjective,1
tough,Adjective,1
red,Adjective,1
disgraceful,Adjective,1
weve,Adjective,1
dangerous,Adjective,1
smart,Adjective,1
own,Adjective,1
outjohn,Adjective,1
sloppy,Adjective,1
wonderful,Adjective,1
stupidthe,Adjective,1
stupidest,Adjective,1
easy,Adjective,1
beneficiary,Adjective,1
makingi,Adjective,1
repeal,Adjective,1
illegal,Adjective,1
outsmartinglook,Adjective,1
treat,Adjective,1
citizen,Adjective,1
inefficient,Adjective,1
later,Adjective,1
southern,Adjective,1
congressional,Adjective,1
know,Adjective,1
radical,Adjective,1
chicken,Adjective,1
thewere,Adjective,1
conservative,Adjective,1
thats,Adjective,1
stronglyand,Adjective,1
soits,Adjective,1
imperative,Adjective,1
inappropriate,Adjective,1
absolute,Adjective,1
dont,Adjective,1
involved,Adjective,1
wellcrafted,Adjective,1
ok,Adjective,1
final,Adjective,1
acceptable,Adjective,1
mean,Adjective,1
unbelievable,Adjective,1
amnesty,Adjective,1
gun,Adjective,1
sarcastic,Adjective,1
earliest,Adjective,1
individual,Adjective,1
phenomenal,Adjective,1
proud,Adjective,1
real,Adjective,1
sure,Adjective,1
peoplei,Adjective,1
honored,Adjective,1
simple,Adjective,1
impossible,Adjective,1
violent,Adjective,1
fourstar,Adjective,1
crooked,Adjective,1
particular,Adjective,1
womenthe,Adjective,1
sleazy,Adjective,1
debunked,Adjective,1
lota,Adjective,1
hard,Adjective,1
national,Adjective,1
upstate,Adjective,1
rich,Adjective,1
incredible,Adjective,1
stagnant,Adjective,1
manyive,Adjective,1
kick,Adjective,1
anemic,Adjective,1
10year,Adjective,1
separate,Adjective,1
high,Adjective,1
low,Adjective,1
growingour,Adjective,1
