Word,New POS,Frequency
people,Noun,38
country,Noun,30
woman,Noun,30
donald,Noun,27
president,Noun,23
thats,Noun,20
job,Noun,20
kind,Noun,18
way,Noun,17
tax,Noun,15
im,Noun,14
family,Noun,13
year,Noun,13
state,Noun,13
right,Noun,13
time,Noun,13
election,Noun,12
america,Noun,11
government,Noun,11
debt,Noun,11
ive,Noun,10
chris,Noun,10
security,Noun,10
weve,Noun,10
court,Noun,10
economy,Noun,10
united,Noun,9
plan,Noun,9
life,Noun,9
syria,Noun,9
world,Noun,9
gun,Noun,9
decision,Noun,9
business,Noun,8
immigrant,Noun,8
case,Noun,8
fact,Noun,8
trump,Noun,8
work,Noun,7
money,Noun,7
border,Noun,7
he,Noun,7
issue,Noun,7
american,Noun,7
health,Noun,7
second,Noun,7
amendment,Noun,7
opportunity,Noun,7
russian,Noun,6
isi,Noun,6
home,Noun,6
child,Noun,6
school,Noun,6
obama,Noun,6
haiti,Noun,6
lot,Noun,6
system,Noun,6
mosul,Noun,6
foundation,Noun,6
income,Noun,6
care,Noun,5
course,Noun,5
social,Noun,5
supreme,Noun,5
weapon,Noun,5
iraq,Noun,5
regulation,Noun,5
ground,Noun,5
everything,Noun,5
well,Noun,5
energy,Noun,5
college,Noun,5
wade,Noun,5
roe,Noun,5
education,Noun,5
behalf,Noun,5
corporation,Noun,5
reform,Noun,5
number,Noun,5
everybody,Noun,4
person,Noun,4
putin,Noun,4
whats,Noun,4
end,Noun,4
ill,Noun,4
worker,Noun,4
war,Noun,4
something,Noun,4
clinton,Noun,4
penny,Noun,4
parent,Noun,4
youre,Noun,4
intelligence,Noun,4
cut,Noun,4
day,Noun,4
steel,Noun,4
force,Noun,4
interest,Noun,4
benefit,Noun,4
espionage,Noun,4
parenthood,Noun,4
thing,Noun,4
problem,Noun,4
fund,Noun,4
senate,Noun,4
conflict,Noun,4
citizen,Noun,4
great,Noun,4
campaign,Noun,4
experience,Noun,4
medicare,Noun,3
new,Noun,3
department,Noun,3
middle,Noun,3
position,Noun,3
debate,Noun,3
rest,Noun,3
wikileaks,Noun,3
china,Noun,3
university,Noun,3
responsibility,Noun,3
syrian,Noun,3
level,Noun,3
agreement,Noun,3
anyone,Noun,3
invasion,Noun,3
bush,Noun,3
mexico,Noun,3
employer,Noun,3
community,Noun,3
wealthy,Noun,3
side,Noun,3
approach,Noun,3
so,Noun,3
investment,Noun,3
conspiracy,Noun,3
reagan,Noun,3
law,Noun,3
program,Noun,3
resource,Noun,3
nation,Noun,3
history,Noun,3
immigration,Noun,3
secretary,Noun,3
abortion,Noun,3
million,Noun,3
return,Noun,3
pregnancy,Noun,3
choice,Noun,3
were,Noun,3
theyve,Noun,3
account,Noun,3
help,Noun,3
growth,Noun,3
line,Noun,3
justice,Noun,3
dozen,Noun,3
kid,Noun,3
anything,Noun,3
everyone,Noun,3
zone,Noun,3
agency,Noun,3
stage,Noun,3
trust,Noun,3
recession,Noun,3
situation,Noun,3
contrast,Noun,2
emmy,Noun,2
cyberattacks,Noun,2
fighter,Noun,2
infrastructure,Noun,2
poverty,Noun,2
pretty,Noun,2
fight,Noun,2
raqqa,Noun,2
republican,Noun,2
shadow,Noun,2
twothirds,Noun,2
drug,Noun,2
wage,Noun,2
part,Noun,2
deficit,Noun,2
primary,Noun,2
iraqi,Noun,2
google,Noun,2
refugee,Noun,2
share,Noun,2
peace,Noun,2
game,Noun,2
bill,Noun,2
question,Noun,2
control,Noun,2
bernie,Noun,2
purpose,Noun,2
deal,Noun,2
sander,Noun,2
minute,Noun,2
effort,Noun,2
order,Noun,2
earthquake,Noun,2
alliance,Noun,2
ii,Noun,2
preschool,Noun,2
there,Noun,2
thrives,Noun,2
class,Noun,2
contribution,Noun,2
ally,Noun,2
democracy,Noun,2
negotiation,Noun,2
future,Noun,2
administration,Noun,2
asia,Noun,2
place,Noun,2
skill,Noun,2
donalds,Noun,2
judge,Noun,2
cost,Noun,2
ad,Noun,2
discrimination,Noun,2
dad,Noun,2
trade,Noun,2
threat,Noun,2
senator,Noun,2
mother,Noun,2
aluminum,Noun,2
smarter,Noun,2
pattern,Noun,2
racketeering,Noun,2
fraud,Noun,2
steelworker,Noun,2
planned,Noun,2
didnt,Noun,2
man,Noun,2
toddler,Noun,2
celebrity,Noun,2
nominee,Noun,2
tradition,Noun,2
rally,Noun,2
others,Noun,2
disagreement,Noun,2
presidency,Noun,2
look,Noun,2
reporter,Noun,2
apprentice,Noun,2
laden,Noun,2
commitment,Noun,2
bin,Noun,2
mr,Noun,2
difference,Noun,2
matter,Noun,2
doesnt,Noun,2
york,Noun,2
affordable,Noun,2
