Word,New POS,Frequency
people,Noun,49
country,Noun,39
border,Noun,22
thing,Noun,19
year,Noun,18
way,Noun,18
percent,Noun,17
mosul,Noun,17
hillary,Noun,16
were,Noun,15
job,Noun,15
money,Noun,14
deal,Noun,14
state,Noun,13
thats,Noun,13
shes,Noun,13
trade,Noun,12
iran,Noun,12
law,Noun,11
look,Noun,11
im,Noun,11
putin,Noun,11
whats,Noun,11
theyre,Noun,11
lot,Noun,11
obama,Noun,11
nobody,Noun,10
justice,Noun,10
isi,Noun,10
amendment,Noun,10
disaster,Noun,10
million,Noun,10
woman,Noun,9
iraq,Noun,9
wall,Noun,9
president,Noun,9
ive,Noun,9
company,Noun,9
clinton,Noun,8
russia,Noun,8
second,Noun,8
violence,Noun,7
weve,Noun,7
world,Noun,7
tax,Noun,7
time,Noun,7
well,Noun,7
campaign,Noun,7
anything,Noun,7
theyve,Noun,7
respect,Noun,7
united,Noun,7
business,Noun,6
anybody,Noun,6
nafta,Noun,6
report,Noun,6
husband,Noun,6
idea,Noun,6
chris,Noun,6
assad,Noun,6
drug,Noun,5
baby,Noun,5
id,Noun,5
plan,Noun,5
problem,Noun,5
youre,Noun,5
syria,Noun,5
obamacare,Noun,5
so,Noun,5
everybody,Noun,4
number,Noun,4
saudi,Noun,4
arabia,Noun,4
place,Noun,4
leader,Noun,4
surprise,Noun,4
week,Noun,4
japan,Noun,4
puppet,Noun,4
ceasefire,Noun,4
decision,Noun,4
care,Noun,4
thank,Noun,4
ill,Noun,4
america,Noun,4
china,Noun,4
cash,Noun,4
dont,Noun,4
thousand,Noun,4
line,Noun,4
fbi,Noun,4
right,Noun,4
fiction,Noun,4
ad,Noun,4
day,Noun,4
month,Noun,4
rally,Noun,3
flag,Noun,3
friend,Noun,3
tape,Noun,3
house,Noun,3
rebel,Noun,3
step,Noun,3
fame,Noun,3
email,Noun,3
kind,Noun,3
haiti,Noun,3
hundred,Noun,3
foundation,Noun,3
constitution,Noun,3
fact,Noun,3
mistake,Noun,3
something,Noun,3
voter,Noun,3
department,Noun,3
nato,Noun,3
today,Noun,3
story,Noun,3
court,Noun,3
migration,Noun,3
south,Noun,3
korea,Noun,3
dollar,Noun,3
lie,Noun,3
nothing,Noun,3
germany,Noun,3
barack,Noun,3
first,Noun,3
mother,Noun,3
ok,Noun,3
all,Noun,3
chicago,Noun,3
machine,Noun,3
new,Noun,3
mexico,Noun,3
loan,Noun,2
quote,Noun,2
college,Noun,2
yourselves,Noun,2
amnesty,Noun,2
tuition,Noun,2
