Word,New POS,Frequency
is,Verb,95
have,Verb,80
be,Verb,48
think,Verb,44
wa,Verb,44
are,Verb,40
do,Verb,36
ha,Verb,36
going,Verb,35
know,Verb,33
said,Verb,30
make,Verb,26
want,Verb,26
get,Verb,25
were,Verb,23
been,Verb,20
go,Verb,16
say,Verb,15
come,Verb,14
need,Verb,14
am,Verb,12
take,Verb,11
went,Verb,11
help,Verb,11
dont,Verb,10
had,Verb,10
let,Verb,9
work,Verb,9
see,Verb,9
stand,Verb,9
got,Verb,8
believe,Verb,8
talk,Verb,8
look,Verb,7
made,Verb,7
raise,Verb,6
doe,Verb,6
pay,Verb,6
making,Verb,6
saying,Verb,6
done,Verb,6
weve,Verb,6
defend,Verb,5
did,Verb,5
supported,Verb,5
rigged,Verb,5
continue,Verb,5
mean,Verb,5
put,Verb,5
talking,Verb,5
support,Verb,5
doing,Verb,5
thats,Verb,5
invest,Verb,4
working,Verb,4
putting,Verb,4
getting,Verb,4
born,Verb,4
used,Verb,4
give,Verb,4
given,Verb,4
voted,Verb,4
quoting,Verb,4
add,Verb,4
started,Verb,4
keep,Verb,4
protect,Verb,4
understand,Verb,4
trying,Verb,4
find,Verb,4
he,Verb,4
standing,Verb,4
there,Verb,4
deported,Verb,3
called,Verb,3
worked,Verb,3
meet,Verb,3
move,Verb,3
hope,Verb,3
feel,Verb,3
proposing,Verb,3
create,Verb,3
took,Verb,3
didnt,Verb,3
seen,Verb,3
encouraged,Verb,3
try,Verb,3
mentioned,Verb,3
met,Verb,3
cut,Verb,3
produce,Verb,2
concluded,Verb,2
run,Verb,2
undocumented,Verb,2
hurt,Verb,2
inherited,Verb,2
claim,Verb,2
lost,Verb,2
hear,Verb,2
cant,Verb,2
engaged,Verb,2
kept,Verb,2
released,Verb,2
asked,Verb,2
influence,Verb,2
prevent,Verb,2
analyzed,Verb,2
hed,Verb,2
start,Verb,2
raising,Verb,2
buy,Verb,2
trade,Verb,2
respond,Verb,2
frankly,Verb,2
lose,Verb,2
save,Verb,2
like,Verb,2
raised,Verb,2
running,Verb,2
bear,Verb,2
grow,Verb,2
sued,Verb,2
accepted,Verb,2
happening,Verb,2
taken,Verb,2
bought,Verb,2
planned,Verb,2
criticizing,Verb,2
defunding,Verb,2
compare,Verb,2
looking,Verb,2
bring,Verb,2
reverse,Verb,2
provide,Verb,2
hosting,Verb,2
kill,Verb,2
brought,Verb,2
respect,Verb,2
repeal,Verb,2
including,Verb,2
enforce,Verb,2
paying,Verb,2
rip,Verb,2
taking,Verb,2
act,Verb,2
doesnt,Verb,2
here,Verb,2
ask,Verb,2
shipped,Verb,2
stay,Verb,2
forced,Verb,2
spend,Verb,1
lift,Verb,1
pushed,Verb,1
paid,Verb,1
follow,Verb,1
horrifying,Verb,1
expect,Verb,1
celebrate,Verb,1
donated,Verb,1
demonstrate,Verb,1
applauds,Verb,1
denying,Verb,1
prefers,Verb,1
arent,Verb,1
captured,Verb,1
hasnt,Verb,1
trusted,Verb,1
thrilled,Verb,1
involved,Verb,1
devastated,Verb,1
punching,Verb,1
pulling,Verb,1
pushing,Verb,1
incites,Verb,1
briefly,Verb,1
apologizes,Verb,1
learned,Verb,1
mocked,Verb,1
mimicked,Verb,1
died,Verb,1
serving,Verb,1
astonishing,Verb,1
afford,Verb,1
prove,Verb,1
conducted,Verb,1
wonder,Verb,1
yes,Verb,1
emanates,Verb,1
defeat,Verb,1
thought,Verb,1
slow,Verb,1
rush,Verb,1
recognize,Verb,1
fix,Verb,1
identify,Verb,1
dislocated,Verb,1
strike,Verb,1
vetted,Verb,1
slam,Verb,1
coming,Verb,1
sat,Verb,1
haunting,Verb,1
vetting,Verb,1
solve,Verb,1
stop,Verb,1
diminish,Verb,1
extended,Verb,1
increase,Verb,1
emphasize,Verb,1
watching,Verb,1
reaching,Verb,1
privileged,Verb,1
protecting,Verb,1
rising,Verb,1
result,Verb,1
disadvantaged,Verb,1
call,Verb,1
rebuilding,Verb,1
affect,Verb,1
donalds,Verb,1
assuming,Verb,1
replenish,Verb,1
finding,Verb,1
enhance,Verb,1
leave,Verb,1
expressed,Verb,1
occupying,Verb,1
waving,Verb,1
reconstitute,Verb,1
press,Verb,1
begin,Verb,1
remain,Verb,1
aided,Verb,1
abetted,Verb,1
protects,Verb,1
tweeting,Verb,1
troubling,Verb,1
liked,Verb,1
expected,Verb,1
whining,Verb,1
finished,Verb,1
show,Verb,1
appalled,Verb,1
led,Verb,1
andjust,Verb,1
digging,Verb,1
prepared,Verb,1
amazed,Verb,1
seems,Verb,1
launched,Verb,1
spewing,Verb,1
prof,Verb,1
supporting,Verb,1
campaigned,Verb,1
hasten,Verb,1
belief,Verb,1
fly,Verb,1
push,Verb,1
gain,Verb,1
implying,Verb,1
denied,Verb,1
verify,Verb,1
matter,Verb,1
told,Verb,1
guess,Verb,1
belittling,Verb,1
giving,Verb,1
talked,Verb,1
rounding,Verb,1
introducing,Verb,1
keeping,Verb,1
includes,Verb,1
needed,Verb,1
deport,Verb,1
choked,Verb,1
sending,Verb,1
happened,Verb,1
discovered,Verb,1
stepping,Verb,1
regulate,Verb,1
happens,Verb,1
using,Verb,1
known,Verb,1
traveling,Verb,1
tell,Verb,1
thinking,Verb,1
answered,Verb,1
cross,Verb,1
sign,Verb,1
read,Verb,1
combined,Verb,1
hacked,Verb,1
citizenship,Verb,1
confirmed,Verb,1
