Word,New POS,Frequency
have,Verb,110
going,Verb,76
is,Verb,67
are,Verb,52
be,Verb,38
were,Verb,33
wa,Verb,32
do,Verb,29
know,Verb,29
ha,Verb,28
want,Verb,27
get,Verb,26
been,Verb,26
did,Verb,26
dont,Verb,26
think,Verb,25
say,Verb,24
go,Verb,22
take,Verb,20
said,Verb,18
tell,Verb,13
happened,Verb,13
look,Verb,12
see,Verb,12
believe,Verb,11
let,Verb,10
had,Verb,10
talk,Verb,10
make,Verb,10
give,Verb,9
wanted,Verb,9
need,Verb,9
saying,Verb,8
start,Verb,8
left,Verb,8
made,Verb,8
came,Verb,7
happen,Verb,7
use,Verb,7
done,Verb,7
come,Verb,7
run,Verb,7
doing,Verb,7
didnt,Verb,7
started,Verb,6
signed,Verb,6
mean,Verb,6
got,Verb,6
outsmarted,Verb,6
took,Verb,6
cant,Verb,6
seen,Verb,6
pay,Verb,5
paying,Verb,5
gave,Verb,5
being,Verb,5
taking,Verb,5
create,Verb,5
am,Verb,5
help,Verb,5
coming,Verb,4
caused,Verb,4
defend,Verb,4
thought,Verb,4
pouring,Verb,4
become,Verb,4
feel,Verb,4
appoint,Verb,4
getting,Verb,4
allowed,Verb,4
taken,Verb,4
outplayed,Verb,4
waiting,Verb,4
changed,Verb,4
gone,Verb,4
put,Verb,4
theyre,Verb,4
aligned,Verb,3
went,Verb,3
built,Verb,3
doesnt,Verb,3
thats,Verb,3
mention,Verb,3
apologize,Verb,3
bringing,Verb,3
registered,Verb,3
lied,Verb,3
fighting,Verb,3
vote,Verb,3
lost,Verb,3
weve,Verb,3
love,Verb,3
shouldnt,Verb,3
sat,Verb,3
renegotiate,Verb,3
keep,Verb,3
ran,Verb,3
based,Verb,3
given,Verb,3
killed,Verb,3
replace,Verb,3
grow,Verb,3
destroying,Verb,3
build,Verb,3
agree,Verb,2
known,Verb,2
find,Verb,2
gained,Verb,2
gain,Verb,2
win,Verb,2
shes,Verb,2
right,Verb,2
fallen,Verb,2
sitting,Verb,2
created,Verb,2
protect,Verb,2
heard,Verb,2
cut,Verb,2
ask,Verb,2
growing,Verb,2
reading,Verb,2
call,Verb,2
making,Verb,2
kicked,Verb,2
suffer,Verb,2
boy,Verb,2
involved,Verb,2
questioned,Verb,2
write,Verb,2
uphold,Verb,2
endorsed,Verb,2
repeal,Verb,2
terminate,Verb,2
happening,Verb,2
turned,Verb,2
back,Verb,2
wasnt,Verb,2
buy,Verb,2
fictionalized,Verb,2
wont,Verb,2
end,Verb,2
protecting,Verb,2
rip,Verb,2
giving,Verb,2
respond,Verb,2
talking,Verb,2
moved,Verb,2
deported,Verb,2
contribute,Verb,2
including,Verb,2
stop,Verb,2
doubt,Verb,2
who,Verb,2
paid,Verb,2
lookexcuse,Verb,1
seeing,Verb,1
disagree,Verb,1
gavethey,Verb,1
cutting,Verb,1
youve,Verb,1
doe,Verb,1
change,Verb,1
negotiate,Verb,1
treat,Verb,1
hate,Verb,1
havent,Verb,1
watching,Verb,1
entitled,Verb,1
ive,Verb,1
expand,Verb,1
looking,Verb,1
frankly,Verb,1
passed,Verb,1
disagreed,Verb,1
dealing,Verb,1
poisoned,Verb,1
care,Verb,1
explain,Verb,1
happensthe,Verb,1
waswe,Verb,1
fought,Verb,1
wrote,Verb,1
amazing,Verb,1
havehe,Verb,1
backing,Verb,1
ifand,Verb,1
russia,Verb,1
called,Verb,1
iran,Verb,1
overthrow,Verb,1
he,Verb,1
depleted,Verb,1
lose,Verb,1
